time,pm2_5,pm10,ozone,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,pm25_bucket,discomfort_index,hour
2026-02-18 00:00:00,28.1,30.2,8.0,47.4,5.8,475.0,-1.1,90,2.9,0.0,Moderate,-0.24200000000000021,0
2026-02-18 01:00:00,28.1,29.9,19.0,34.9,4.9,406.0,-1.2,89,2.7,0.0,Moderate,-0.25015,1
2026-02-18 02:00:00,24.6,26.9,18.0,26.6,3.6,348.0,-1.3,88,4.8,0.0,Moderate,-0.2571999999999999,2
2026-02-18 03:00:00,21.8,24.4,18.0,22.4,3.1,306.0,-1.5,87,6.2,0.0,Moderate,-0.35599999999999987,3
2026-02-18 04:00:00,20.4,26.4,27.0,15.5,5.5,293.0,-1.7,86,4.7,0.0,Moderate,-0.4525999999999999,4
2026-02-18 05:00:00,20.3,21.8,40.0,11.4,5.1,278.0,-1.9,87,5.0,0.0,Moderate,-0.7273999999999998,5
2026-02-18 06:00:00,19.1,20.2,40.0,12.9,4.4,274.0,-2.0,87,6.5,0.0,Moderate,-0.8202499999999999,6
2026-02-18 07:00:00,17.3,18.8,38.0,16.6,4.0,278.0,-2.6,85,7.6,0.0,Moderate,-1.1892499999999997,7
2026-02-18 08:00:00,15.1,17.6,38.0,19.8,3.8,290.0,-2.9,84,7.2,0.0,Moderate,-1.3687999999999996,8
2026-02-18 09:00:00,14.1,14.8,43.0,17.0,3.4,275.0,-3.0,81,6.9,0.0,Moderate,-1.1712500000000003,9
2026-02-18 10:00:00,11.2,11.8,53.0,12.5,2.9,247.0,-2.6,81,5.8,0.0,Good,-0.8130500000000003,10
2026-02-18 11:00:00,9.2,10.3,58.0,10.6,2.3,235.0,-2.0,78,6.1,0.0,Good,-0.0035000000000000586,11
2026-02-18 12:00:00,8.7,9.8,66.0,8.7,2.0,222.0,-1.5,72,5.6,0.0,Good,0.9640000000000004,12
2026-02-18 13:00:00,8.0,8.9,69.0,7.7,2.1,214.0,-0.9,72,6.4,0.0,Good,1.4716000000000005,13
2026-02-18 14:00:00,7.5,8.4,68.0,7.4,2.2,207.0,-0.7,73,7.0,0.0,Good,1.5572000000000001,14
2026-02-18 15:00:00,7.0,8.0,70.0,7.7,2.0,205.0,-0.6,69,7.8,0.0,Good,1.9745500000000002,15
2026-02-18 16:00:00,7.0,8.3,72.0,9.3,1.9,208.0,-0.6,65,9.0,0.0,Good,2.30675,16
2026-02-18 17:00:00,7.9,9.3,66.0,14.8,2.2,227.0,-1.0,67,7.3,0.0,Good,1.81325,17
2026-02-18 18:00:00,8.6,10.5,53.0,27.5,2.7,253.0,-1.4,63,5.4,0.0,Good,1.8356500000000002,18
2026-02-18 19:00:00,9.6,12.7,55.0,30.3,3.3,262.0,-1.8,69,6.2,0.0,Good,0.9791500000000009,19
2026-02-18 20:00:00,10.5,13.9,45.0,31.7,3.9,277.0,-2.0,63,5.1,0.0,Good,1.3577500000000002,20
2026-02-18 21:00:00,10.9,16.3,27.0,39.7,4.0,279.0,-2.2,65,4.4,0.0,Good,1.0147499999999998,21
2026-02-18 22:00:00,11.3,17.6,26.0,40.2,4.3,272.0,-3.2,75,5.1,0.0,Good,-0.7662499999999999,22
2026-02-18 23:00:00,11.8,17.7,26.0,39.3,4.0,289.0,-3.5,74,4.7,0.0,Good,-0.9259999999999997,23
2026-02-19 00:00:00,12.2,15.5,30.0,35.8,3.1,269.0,-3.6,74,5.1,0.0,Moderate,-1.0116999999999994,0
2026-02-19 01:00:00,11.1,14.9,41.0,26.9,2.3,234.0,-4.3,78,5.9,0.0,Good,-2.0252,1
2026-02-19 02:00:00,10.1,14.0,47.0,18.8,2.4,220.0,-4.4,76,7.1,0.0,Good,-1.9052000000000002,2
2026-02-19 03:00:00,10.0,13.3,45.0,15.7,3.2,217.0,-4.5,75,6.5,0.0,Good,-1.8874999999999997,3
2026-02-19 04:00:00,11.0,14.1,45.0,14.9,3.7,214.0,-5.6,75,8.9,0.0,Good,-2.8362499999999993,4
2026-02-19 05:00:00,13.1,15.3,45.0,15.7,4.1,232.0,-5.5,72,8.6,0.0,Moderate,-2.4199999999999995,5
2026-02-19 06:00:00,15.2,16.9,40.0,18.0,4.6,248.0,-5.7,70,8.8,0.0,Moderate,-2.3669999999999995,6
2026-02-19 07:00:00,16.9,20.2,39.0,24.5,5.4,276.0,-6.8,74,7.9,0.0,Moderate,-3.7540999999999993,7
2026-02-19 08:00:00,17.3,20.8,32.0,34.4,5.7,320.0,-6.7,73,8.3,0.0,Moderate,-3.5517999999999996,8
2026-02-19 09:00:00,14.2,18.4,51.0,27.1,4.9,294.0,-6.0,69,8.6,0.0,Moderate,-2.504749999999999,9
2026-02-19 10:00:00,10.9,13.6,65.0,14.9,4.5,251.0,-4.7,67,9.4,0.0,Good,-1.2152000000000003,10
2026-02-19 11:00:00,9.3,11.8,75.0,10.6,3.5,217.0,-3.7,64,9.1,0.0,Good,-0.09640000000000004,11
2026-02-19 12:00:00,8.2,9.3,79.0,8.4,2.8,207.0,-2.6,62,9.4,0.0,Good,0.9739000000000004,12
2026-02-19 13:00:00,7.2,8.6,81.0,7.3,2.6,191.0,-1.1,58,10.3,0.0,Good,2.5036000000000005,13
